OA11CD,United Kingdom,Europe,Africa,Middle East and Asia,The Americas and the Caribbean,Antarctica and Oceania,Other
E00016471,59.91379310344828,14.224137931034484,10.344827586206897,9.913793103448276,5.603448275862069,0.0,1.4210854715202004e-14
E00016472,60.60606060606061,19.55922865013774,6.6115702479338845,6.336088154269972,6.6115702479338845,0.27548209366391185,0.0
E00016447,66.77966101694915,14.915254237288135,10.169491525423728,3.389830508474576,4.067796610169491,0.6779661016949152,0.0
E00016458,70.84639498432603,10.031347962382446,8.150470219435737,5.015673981191223,5.6426332288401255,0.31347962382445144,0.0
E00016459,81.41592920353982,4.867256637168142,4.424778761061947,5.752212389380531,1.7699115044247788,1.7699115044247788,0.0
E00016464,61.64383561643836,10.95890410958904,21.232876712328768,1.36986301369863,4.794520547945205,0.0,-1.4210854715202004e-14
E00016465,69.25795053003533,14.840989399293287,2.8268551236749118,4.240282685512367,8.480565371024735,0.35335689045936397,-1.4210854715202004e-14
E00016466,74.1444866920152,15.96958174904943,3.802281368821293,2.2813688212927756,2.661596958174905,0.7604562737642585,0.3802281368821241
E00016475,61.64383561643836,7.762557077625571,15.981735159817351,9.58904109589041,5.0228310502283104,0.0,1.4210854715202004e-14
E00016476,65.8703071672355,8.532423208191126,13.651877133105803,5.802047781569966,5.802047781569966,0.3412969283276451,0.0
E00016478,70.43010752688173,12.903225806451612,5.376344086021505,4.838709677419355,5.913978494623656,0.5376344086021505,0.0
E00016479,66.26984126984127,9.92063492063492,11.904761904761905,3.9682539682539684,7.5396825396825395,0.3968253968253968,-1.4210854715202004e-14
E00016480,66.3265306122449,6.122448979591836,15.986394557823129,6.122448979591836,5.442176870748299,0.0,0.0
E00016482,53.72549019607843,10.588235294117647,21.568627450980394,7.450980392156863,6.666666666666667,0.0,0.0
E00016468,78.80184331797236,8.755760368663594,3.686635944700461,4.147465437788019,4.608294930875576,0.0,0.0
E00016470,82.00836820083683,5.857740585774058,2.928870292887029,2.510460251046025,5.439330543933054,1.2552301255230125,0.0
E00016473,73.92739273927393,9.24092409240924,6.930693069306931,2.6402640264026402,6.930693069306931,0.33003300330033003,1.4210854715202004e-14
E00016474,68.77470355731225,13.438735177865613,3.1620553359683794,8.300395256916996,5.533596837944664,0.7905138339920948,0.0
E00016477,72.6962457337884,9.215017064846416,9.215017064846416,3.0716723549488054,5.460750853242321,0.3412969283276451,-1.4210854715202004e-14
E00016481,55.16129032258065,22.903225806451612,10.64516129032258,5.806451612903226,4.516129032258065,0.967741935483871,0.0
E00016126,70.56962025316456,11.075949367088608,4.746835443037975,4.113924050632911,9.49367088607595,0.0,-1.4210854715202004e-14
E00016127,70.57416267942584,9.808612440191387,7.416267942583732,2.15311004784689,10.047846889952153,0.0,0.0
