Postcode7,Postcode8,PostcodeNatural,IntroductionDate,TerminationDate,Usertype,OA11CD,LSOA11CD,MSOA11CD,LAD19CD,WD22CD_proposed
BR1 5NT,BR1  5NT,BR1 5NT,198001,,0,E00016383,E01003239,E02006783,E09000023,E05013720
BR1 5NU,BR1  5NU,BR1 5NU,198001,,0,E00016389,E01003240,E02006784,E09000023,E05013720
BR1 5NW,BR1  5NW,BR1 5NW,198001,,0,E00016933,E01003351,E02000678,E09000023,E05013720
BR1 5NX,BR1  5NX,BR1 5NX,198001,,0,E00016354,E01003243,E02006784,E09000023,E05013720
BR1 5NY,BR1  5NY,BR1 5NY,198001,,0,E00016358,E01003243,E02006784,E09000023,E05013720
BR1 5NZ,BR1  5NZ,BR1 5NZ,198001,,0,E00016389,E01003240,E02006784,E09000023,E05013720
BR1 5PA,BR1  5PA,BR1 5PA,198001,200402.0,1,E00016358,E01003243,E02006784,E09000023,E05013720
BR1 5PB,BR1  5PB,BR1 5PB,199501,,0,E00016348,E01003238,E02006783,E09000023,E05013720
BR1 5PD,BR1  5PD,BR1 5PD,198001,,0,E00016351,E01003239,E02006783,E09000023,E05013720
BR1 5PE,BR1  5PE,BR1 5PE,198001,,0,E00016351,E01003239,E02006783,E09000023,E05013720
BR1 5PF,BR1  5PF,BR1 5PF,198001,,0,E00016376,E01003239,E02006783,E09000023,E05013720
BR1 5PG,BR1  5PG,BR1 5PG,198001,,0,E00016351,E01003239,E02006783,E09000023,E05013720
BR1 5PH,BR1  5PH,BR1 5PH,198001,199501.0,1,E00016963,E01003350,E02000682,E09000023,E05013724
BR1 5PJ,BR1  5PJ,BR1 5PJ,198001,,0,E00016376,E01003239,E02006783,E09000023,E05013720
BR1 5PL,BR1  5PL,BR1 5PL,199906,,1,E00016351,E01003239,E02006783,E09000023,E05013720
BR1 5PN,BR1  5PN,BR1 5PN,198001,,0,E00016351,E01003239,E02006783,E09000023,E05013720
BR1 5PP,BR1  5PP,BR1 5PP,198001,,0,E00016383,E01003239,E02006783,E09000023,E05013720
BR1 5PQ,BR1  5PQ,BR1 5PQ,198001,,0,E00016376,E01003239,E02006783,E09000023,E05013720
BR1 5PR,BR1  5PR,BR1 5PR,198001,,0,E00016383,E01003239,E02006783,E09000023,E05013720
BR1 5PS,BR1  5PS,BR1 5PS,198001,,0,E00016383,E01003239,E02006783,E09000023,E05013720
BR1 5PT,BR1  5PT,BR1 5PT,198001,,0,E00016383,E01003239,E02006783,E09000023,E05013720
BR1 5PU,BR1  5PU,BR1 5PU,198001,,0,E00016939,E01003353,E02000682,E09000023,E05013717
BR1 5PW,BR1  5PW,BR1 5PW,198001,,0,E00016351,E01003239,E02006783,E09000023,E05013720
BR1 5PX,BR1  5PX,BR1 5PX,198001,,0,E00016939,E01003353,E02000682,E09000023,E05013717
BR1 5PY,BR1  5PY,BR1 5PY,198001,,0,E00016938,E01003353,E02000682,E09000023,E05013717
BR1 5PZ,BR1  5PZ,BR1 5PZ,198001,,0,E00016938,E01003353,E02000682,E09000023,E05013717
BR1 5QA,BR1  5QA,BR1 5QA,198001,,0,E00016938,E01003353,E02000682,E09000023,E05013717
BR1 5QB,BR1  5QB,BR1 5QB,198001,,0,E00016938,E01003353,E02000682,E09000023,E05013717
BR1 5QD,BR1  5QD,BR1 5QD,198001,,0,E00016938,E01003353,E02000682,E09000023,E05013717
BR1 5QE,BR1  5QE,BR1 5QE,198001,,0,E00016934,E01003353,E02000682,E09000023,E05013717
BR1 5QF,BR1  5QF,BR1 5QF,198001,,0,E00016380,E01003240,E02006784,E09000023,E05013720
BR1 5QG,BR1  5QG,BR1 5QG,198001,,0,E00016389,E01003240,E02006784,E09000023,E05013720
BR1 5QH,BR1  5QH,BR1 5QH,198001,,0,E00016380,E01003240,E02006784,E09000023,E05013720
BR1 5QJ,BR1  5QJ,BR1 5QJ,198001,,0,E00016380,E01003240,E02006784,E09000023,E05013720
BR1 5QL,BR1  5QL,BR1 5QL,199712,,1,E00016351,E01003239,E02006783,E09000023,E05013720
BR1 5QN,BR1  5QN,BR1 5QN,198001,,0,E00016390,E01003240,E02006784,E09000023,E05013720
BR1 5QP,BR1  5QP,BR1 5QP,198001,,0,E00016391,E01003243,E02006784,E09000023,E05013720
BR1 5QQ,BR1  5QQ,BR1 5QQ,198001,,0,E00016389,E01003240,E02006784,E09000023,E05013720
BR1 5QR,BR1  5QR,BR1 5QR,198001,,0,E00016388,E01003241,E02006784,E09000023,E05013720
