OA11CD,Total,0-18,19-65,66+
E00016953,268,79,137,52
E00016957,293,97,171,25
E00016960,243,63,135,45
E00016966,198,51,127,20
E00016937,477,113,274,90
E00016959,332,69,197,66
E00016962,486,155,286,45
E00016965,383,107,247,29
E00016970,719,223,459,37
E00016934,409,91,264,54
E00016935,431,116,256,59
E00016936,337,95,201,41
E00016938,294,80,172,42
E00016939,347,100,210,37
E00016940,328,93,207,28
E00016941,441,126,281,34
E00016942,346,92,226,28
E00016943,267,77,179,11
E00016944,374,96,246,32
E00016945,257,75,176,6
E00016356,360,106,222,32
E00016387,334,100,205,29
E00016393,321,93,185,43
E00165790,324,104,193,27
E00016362,438,145,250,43
E00016364,342,105,204,33
E00016365,236,60,133,43
E00016394,353,111,210,32
E00165789,260,53,161,46
E00016696,254,47,197,10
E00016698,492,76,404,12
E00016703,326,98,212,16
E00016713,478,86,379,13
E00165804,398,72,312,14
E00016668,240,38,170,32
E00016670,336,78,222,36
E00016671,160,35,107,18
E00016672,401,86,260,55
E00173708,202,35,158,9
E00173710,496,125,348,23
E00016661,316,49,228,39
E00173936,285,81,195,9
E00173937,221,33,184,4
E00173938,363,52,308,3
E00174035,241,42,197,2
E00016212,324,79,225,20
E00016249,243,40,148,55
E00016254,304,55,222,27
E00173952,243,62,155,26
E00174016,249,57,160,32
E00174022,241,40,177,24
E00174008,281,25,243,13
E00174010,287,21,257,9
E00174013,265,15,243,7
E00174015,328,41,279,8
E00174025,254,10,241,3
E00174027,201,18,179,4
E00016628,376,61,284,31
E00016637,750,101,584,65
E00174024,461,78,373,10
E00174029,264,26,216,22
E00174030,226,32,182,12
E00016644,625,247,362,16
E00016645,325,72,215,38
E00016646,361,93,244,24
