OA11CD,Rural Urban,All categories: Tenure,Owned: Total,Owned: Owned outright,Owned: Owned with a mortgage or loan,Shared ownership (part owned and part rented),Social rented: Total,Social rented: Rented from council (Local Authority),Social rented: Other social rented,Private rented: Total,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of household member,Private rented: Other,Living rent free
E00016605,Total,181,97,31,66,1,28,13,15,54,51,0,3,0,1
E00016608,Total,91,58,22,36,0,15,7,8,17,17,0,0,0,1
E00016626,Total,135,98,42,56,0,13,12,1,24,23,0,1,0,0
E00016589,Total,133,74,43,31,1,43,8,35,13,13,0,0,0,2
E00016595,Total,127,11,1,10,1,107,24,83,8,8,0,0,0,0
E00016597,Total,133,15,3,12,5,93,21,72,18,18,0,0,0,2
E00016599,Total,139,57,16,41,8,29,25,4,44,42,0,2,0,1
E00016601,Total,139,29,6,23,0,87,81,6,21,19,0,1,1,2
E00016607,Total,115,32,16,16,0,62,9,53,20,20,0,0,0,1
E00016573,Total,130,63,18,45,1,16,7,9,49,49,0,0,0,1
E00016579,Total,134,39,15,24,0,29,9,20,64,62,0,2,0,2
E00016580,Total,168,83,30,53,2,28,8,20,55,51,1,2,1,0
E00016581,Total,186,63,21,42,0,55,22,33,67,64,1,2,0,1
E00016582,Total,180,98,35,63,1,29,12,17,52,49,0,3,0,0
E00016546,Total,141,47,13,34,1,17,4,13,73,68,0,4,1,3
E00016547,Total,164,95,33,62,1,14,4,10,53,52,0,1,0,1
E00016548,Total,137,101,45,56,1,13,8,5,20,19,0,0,1,2
E00016550,Total,158,68,23,45,1,22,4,18,67,63,0,3,1,0
E00016583,Total,121,61,14,47,0,42,18,24,18,16,0,2,0,0
E00016542,Total,135,56,12,44,1,49,45,4,26,24,0,2,0,3
E00016552,Total,142,30,12,18,4,90,3,87,12,12,0,0,0,6
E00016554,Total,123,88,27,61,0,7,1,6,24,22,0,2,0,4
E00016555,Total,114,38,14,24,0,60,38,22,12,12,0,0,0,4
E00016556,Total,126,77,25,52,1,23,16,7,22,22,0,0,0,3
E00016543,Total,168,62,13,49,1,55,38,17,48,43,0,4,1,2
E00016545,Total,128,34,10,24,0,71,32,39,16,12,1,3,0,7
E00016549,Total,134,113,50,63,0,4,2,2,12,11,0,1,0,5
E00016551,Total,140,115,41,74,0,9,7,2,8,6,0,2,0,8
E00016553,Total,130,78,32,46,0,18,6,12,22,20,0,2,0,12
E00016335,Total,91,63,21,42,0,6,2,4,22,18,0,3,1,0
E00016336,Total,136,86,38,48,14,11,3,8,23,22,0,1,0,2
E00016339,Total,117,100,34,66,2,6,2,4,6,5,0,1,0,3
E00016340,Total,131,103,30,73,0,8,3,5,19,18,0,0,1,1
